REGIÃO DE INTEGRAÇÃO;UNIDADE;MUNICIPIO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;REALIZADO;PROGRAMADO;Exec Anual %;Situação
ARAGUAIA;VII - CONCEIÇÃO DO ARAGUAIA;CONCEIÇÃO DO ARAGUAIA;52;13;67;102;60;91;0;0;0;0;0;0;385;504;76%;Merece Atenção
ARAGUAIA;XV - REDENÇÃO;REDENÇÃO;179;53;87;48;15;0;0;0;0;0;0;0;383;502;76%;Merece Atenção
BAIXO AMAZONAS;IX - SANTARÉM;SANTARÉM;278;47;50;73;128;13;0;0;0;0;0;0;598;673;89%;Conforme Programado
CARAJÁS;VIII - MARABÁ;MARABÁ;319;0;73;336;51;0;0;0;0;0;0;0;789;712;111%;Acima do Programado
CARAJÁS;XXIII - PARAUAPEBAS;PARAUAPEBAS;13;52;60;96;0;0;0;0;0;0;0;0;161;289;56%;Merece Atenção
GUAJARÁ;I - CCSE;BELÉM;423;51;110;53;119;80;0;0;0;0;0;0;836;1659;50%;Merece Atenção
GUAJARÁ;II - CCBS;BELÉM;845;81;221;111;165;0;0;0;0;0;0;0;1423;1156;123%;Acima do Programado
GUAJARÁ;III - EDUCAÇÃO FÍSICA;BELÉM;38;43;0;67;43;50;0;0;0;0;0;0;241;775;31%;Abaixo do Esperado
GUAJARÁ;IV - ENFERMAGEM;BELÉM;215;95;23;27;113;22;0;0;0;0;0;0;495;471;105%;Acima do Programado
GUAJARÁ;V - CCNT;BELÉM;179;37;111;140;0;41;0;0;0;0;0;0;508;927;55%;Merece Atenção
GUAJARÁ;PLANETÁRIO;BELÉM;0;0;85;0;0;0;0;0;0;0;0;0;85;5;1700%;Acima do Programado
GUAJARÁ;REITORIA;BELÉM;190;33;26;65;0;0;0;0;0;0;0;0;284;483;59%;Merece Atenção
GUAJARÁ;ICOARACI;BELÉM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Não Iniciado
GUAJARÁ;MOSQUEIRO;BELÉM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Não Iniciado
GUAJARÁ;XXI - ANANINDEUA;ANANINDEUA;66;51;0;44;40;0;0;0;0;0;0;0;201;347;58%;Merece Atenção
GUAMÁ;XX - CASTANHAL;CASTANHAL;104;20;80;68;159;0;0;0;0;0;0;0;441;679;65%;Merece Atenção
GUAMÁ;X - IGARAPÉ-AÇU;IGARAPÉ-AÇU;91;35;45;0;0;65;0;0;0;0;0;0;236;419;56%;Merece Atenção
GUAMÁ;XI - SÃO MIGUEL DO GUAMÁ;SÃO MIGUEL DO GUAMÁ;9;42;102;0;39;0;0;0;0;0;0;0;192;452;42%;Abaixo do Esperado
GUAMÁ;XVII - VIGIA;VIGIA;90;43;66;0;0;0;0;0;0;0;0;0;199;387;51%;Merece Atenção
LAGO TUCURUÍ;XIII - TUCURUÍ;TUCURUÍ;116;0;0;115;49;0;0;0;0;0;0;0;280;472;59%;Merece Atenção
MARAJÓ;XIX - SALVATERRA;SALVATERRA;56;0;30;32;47;0;0;0;0;0;0;0;166;448;37%;Abaixo do Esperado
RIO CAETE;XXI - BRAGANÇA;BRAGANÇA;30;0;0;85;51;0;0;0;0;0;0;0;166;295;56%;Merece Atenção
RIO CAPIM;BUJARU;BUJARU;0;0;0;0;176;0;0;0;0;0;0;0;176;200;88%;Conforme Programado
RIO CAPIM;VI - PARAGOMINAS;PARAGOMINAS;88;41;45;205;0;0;0;0;0;0;0;0;379;536;71%;Merece Atenção
TOCANTINS;XVI - BARCARENA;BARCARENA;14;47;25;31;38;33;0;0;0;0;0;0;188;353;53%;Merece Atenção
TOCANTINS;XVIII - CAMETÁ;CAMETÁ;70;79;171;0;0;0;0;0;0;0;0;0;320;504;63%;Merece Atenção
TOCANTINS;XIV - MOJU;MOJU;46;39;21;82;0;0;0;0;0;0;0;0;188;374;50%;Merece Atenção
XINGU;IX - ALTAMIRA;ALTAMIRA;85;24;46;0;41;43;0;0;0;0;0;0;239;530;45%;Abaixo do Esperado
;;;;;;;;;;;;;;;;;;
Total;Total;Total;3596;926;1544;1780;1334;438;0;0;0;0;0;0;9559;14152;68%;Merece Atenção
